path,label,class_name,stage,gt_prob,pred_prob,pred,correct,entropy
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.15,0.34327808022499084,0.34327808022499084,4,1,1.5445462465286255
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\232.jpg,0,anger,low_0.15,0.25949957966804504,0.32844793796539307,3,0,1.620650291442871
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\232.jpg,5,surprise,low_0.15,0.22591786086559296,0.2564244270324707,3,0,1.6188538074493408
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\232.jpg,1,disgust,low_0.15,0.16850973665714264,0.23378774523735046,2,0,1.7518402338027954
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\232.jpg,2,fear,low_0.15,0.400383859872818,0.400383859872818,2,1,1.4718806743621826
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\233.jpg,2,fear,low_0.15,0.5339223742485046,0.5339223742485046,2,1,1.3377690315246582
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\233.jpg,0,anger,low_0.15,0.1871640980243683,0.5984581112861633,2,0,1.2311245203018188
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\233.jpg,1,disgust,low_0.15,0.5000600218772888,0.5000600218772888,1,1,1.4193847179412842
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\232.jpg,3,joy,low_0.15,0.10333564877510071,0.3571949899196625,1,0,1.6170461177825928
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\234.jpg,0,anger,low_0.15,0.2726331651210785,0.2726331651210785,0,1,1.6761698722839355
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\233.jpg,5,surprise,low_0.15,0.3851567208766937,0.3851567208766937,5,1,1.6023728847503662
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\233.jpg,4,sadness,low_0.15,0.8981671333312988,0.8981671333312988,4,1,0.4364323616027832
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\233.jpg,3,joy,low_0.15,0.18937167525291443,0.4022569954395294,2,0,1.5903562307357788
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\234.jpg,1,disgust,low_0.15,0.08616126328706741,0.3966042101383209,2,0,1.6154398918151855
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\234.jpg,5,surprise,low_0.15,0.3207457661628723,0.3207457661628723,5,1,1.5641376972198486
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\234.jpg,2,fear,low_0.15,0.3460279703140259,0.3460279703140259,2,1,1.5032546520233154
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\234.jpg,3,joy,low_0.15,0.39986199140548706,0.39986199140548706,3,1,1.6138765811920166
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\234.jpg,4,sadness,low_0.15,0.19695469737052917,0.3715498149394989,2,0,1.5631976127624512
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\235.jpg,0,anger,low_0.15,0.3323870599269867,0.40531712770462036,2,0,1.438095211982727
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\236.jpg,0,anger,low_0.15,0.6647623181343079,0.6647623181343079,0,1,1.0233298540115356
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\235.jpg,3,joy,low_0.15,0.3069581687450409,0.3069581687450409,3,1,1.6696293354034424
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\235.jpg,1,disgust,low_0.15,0.5523023009300232,0.5523023009300232,1,1,1.390526294708252
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\235.jpg,2,fear,low_0.15,0.29135996103286743,0.3540093004703522,5,0,1.5024480819702148
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\235.jpg,4,sadness,low_0.15,0.04068775847554207,0.7920271158218384,2,0,0.7960936427116394
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\236.jpg,1,disgust,low_0.15,0.05624915659427643,0.3720248341560364,2,0,1.5927737951278687
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\235.jpg,5,surprise,low_0.15,0.45721691846847534,0.45721691846847534,5,1,1.444188117980957
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\236.jpg,2,fear,low_0.15,0.6645572185516357,0.6645572185516357,2,1,1.1167504787445068
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\236.jpg,5,surprise,low_0.15,0.4734049439430237,0.4734049439430237,5,1,1.4387348890304565
